id,post_datetime,post_date,post_time,zero_updated,voltage_l1_l12,voltage_l2_l23,voltage_l3_l31,current_l1,current_l2,current_l3,kw_l1,kw_l2,kw_l3,kvar_l1,kvar_l2,kvar_l3,kva_l1,kva_l2,kva_l3,power_factor_l1,power_factor_l2,power_factor_l3,total_kw,total_kvar,total_kva,total_pf,avg_frequency,neutral_current,volt_thd_l1_l12,volt_thd_l2_l23,volt_thd_l3_l31,current_thd_l1,current_thd_l2,current_thd_l3,current_tdd_l1,current_tdd_l2,current_tdd_l3,kwh_import,kwh_export,kvarh_import,kvah_total,max_amp_demand_l1,max_amp_demand_l2,max_amp_demand_l3,max_sliding_window_kw_demand,accum_kw_demand,max_sliding_window_kva_demand,present_sliding_window_kw_demand,present_sliding_window_kva_demand,accum_kva_demand,pf_import_at_maximum_kva_sliding_window_demand,client,branch,device
12709003,2025-03-01T01:05:09,2025-03-01,01:05:09,false,227.2,225.4,224.6,18,30,14,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.02045209903121636,0.013993541442411194,0.013993541442411194,0,0,0,12.8,-5,0.0688912809472551,185.8,0,0,0,0,0,0,0,0,0,0,0,9658,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709012,2025-03-01T01:10:09,2025-03-01,01:10:09,false,226.9,225.1,224.2,18,26,14,3.8,2.6,2.6,-0.8,-2,-1.8,0.020518358531317494,0.014038876889848813,0.014038876889848813,0,0,0,12,-4.8,0.06479481641468683,185.2,0,0,0,0,0,0,0,0,0,0,0,9658,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709021,2025-03-01T01:15:09,2025-03-01,01:15:09,false,226.8,224.9,223.9,18,30,14,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.020408163265306124,0.013963480128893663,0.013963480128893663,0,0,0,12.8,-5,0.06874328678839958,186.2,0,0,0,0,0,0,0,0,0,0,0,9660,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709030,2025-03-01T01:20:10,2025-03-01,01:20:10,false,227.4,225.5,224.7,18,26,14,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.02062975027144408,0.014115092290988058,0.014115092290988058,0,0,0,12,-5,0.06514657980456026,184.2,0,0,0,0,0,0,0,0,0,0,0,9660,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709039,2025-03-01T01:25:09,2025-03-01,01:25:09,false,227,225,224.2,18,30,16,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.020408163265306124,0.013963480128893663,0.013963480128893663,0,0,0,12.8,-5,0.06874328678839958,186.2,0,0,0,0,0,0,0,0,0,0,0,9662,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709048,2025-03-01T01:30:09,2025-03-01,01:30:09,false,227.3,225.4,224.6,18,30,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.020320855614973262,0.013903743315508022,0.013903743315508022,0,0,0,12.8,-4.8,0.06844919786096257,187,0,0,0,0,0,0,0,0,0,0,0,9662,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709057,2025-03-01T01:35:09,2025-03-01,01:35:09,false,226.9,224.9,224.1,18,30,14,3.8,2.6,2.6,-0.8,-2,-1.8,0.020234291799787005,0.013844515441959531,0.013844515441959531,0,0,0,13,-4.6,0.06922257720979766,187.8,0,0,0,0,0,0,0,0,0,0,0,9664,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709066,2025-03-01T01:40:09,2025-03-01,01:40:09,false,227.5,225.6,224.8,18,30,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.020277481323372464,0.013874066168623266,0.013874066168623266,0,0,0,13,-4.8,0.06937033084311632,187.4,0,0,0,0,0,0,0,0,0,0,0,9664,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709075,2025-03-01T01:45:09,2025-03-01,01:45:09,false,228.2,226.1,225.4,18,30,14,3.8,2.6,2.6,-0.8,-2,-1.8,0.020277481323372464,0.013874066168623266,0.013874066168623266,0,0,0,13,-4.8,0.06937033084311632,187.4,0,0,0,0,0,0,0,0,0,0,0,9666,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709084,2025-03-01T01:50:09,2025-03-01,01:50:09,false,228.1,226.1,225.2,18,30,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.0202991452991453,0.01388888888888889,0.01388888888888889,0,0,0,12.8,-4.8,0.06837606837606838,187.2,0,0,0,0,0,0,0,0,0,0,0,9668,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709093,2025-03-01T01:55:09,2025-03-01,01:55:09,false,227.8,225.9,225,18,26,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.020474137931034482,0.014008620689655173,0.014008620689655173,0,0,0,12,-4.8,0.06465517241379311,185.6,0,0,0,0,0,0,0,0,0,0,0,9668,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709172,2025-03-01T02:05:09,2025-03-01,02:05:09,false,227.9,226.3,225.3,18,26,16,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.02056277056277056,0.014069264069264068,0.014069264069264068,0,0,0,12,-5,0.06493506493506493,184.8,0,0,0,0,0,0,0,0,0,0,0,9670,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709211,2025-03-01T02:10:09,2025-03-01,02:10:09,false,228.1,226.3,225.4,18,30,16,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.020364415862808145,0.013933547695605574,0.013933547695605574,0,0,0,12.8,-4.8,0.06859592711682744,186.6,0,0,0,0,0,0,0,0,0,0,0,9672,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709271,2025-03-01T02:15:09,2025-03-01,02:15:09,false,228.6,226.8,226.1,18,26,16,4,2.6,2.6,-0.8,-2.2,-1.8,0.021645021645021644,0.014069264069264068,0.014069264069264068,0,0,0,12.2,-5,0.06601731601731602,184.8,0,0,0,0,0,0,0,0,0,0,0,9672,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709309,2025-03-01T02:20:09,2025-03-01,02:20:09,false,228.6,226.7,225.9,18,30,16,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.020364415862808145,0.013933547695605574,0.013933547695605574,0,0,0,13,-5,0.06966773847802787,186.6,0,0,0,0,0,0,0,0,0,0,0,9674,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709369,2025-03-01T02:25:09,2025-03-01,02:25:09,false,228.6,227.1,225.6,18,30,30,3.8,6.8,6.8,-0.8,-2.4,-1,0.01962809917355372,0.03512396694214876,0.03512396694214876,0,0,0,17.2,-4.4,0.08884297520661157,193.6,0,0,0,0,0,0,0,0,0,0,0,9674,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709407,2025-03-01T02:30:09,2025-03-01,02:30:09,false,229.1,227.4,226.3,18,30,16,3.8,2.6,2.6,-0.8,-2.4,-1.8,0.02054054054054054,0.014054054054054054,0.014054054054054054,0,0,0,12.8,-5.2,0.06918918918918919,185,0,0,0,0,0,0,0,0,0,0,0,9676,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709467,2025-03-01T02:35:09,2025-03-01,02:35:09,false,228.7,226.9,225.9,18,30,16,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.020430107526881718,0.013978494623655914,0.013978494623655914,0,0,0,12.8,-5,0.06881720430107527,186,0,0,0,0,0,0,0,0,0,0,0,9678,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709505,2025-03-01T02:40:08,2025-03-01,02:40:08,false,228.2,226.4,225.7,18,26,16,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.02062975027144408,0.014115092290988058,0.014115092290988058,0,0,0,12,-5,0.06514657980456026,184.2,0,0,0,0,0,0,0,0,0,0,0,9678,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709566,2025-03-01T02:45:09,2025-03-01,02:45:09,false,228.5,226.7,225.7,18,30,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.02034261241970021,0.013918629550321198,0.013918629550321198,0,0,0,12.8,-4.8,0.06852248394004283,186.8,0,0,0,0,0,0,0,0,0,0,0,9680,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709604,2025-03-01T02:50:08,2025-03-01,02:50:08,false,228.7,226.9,226.1,18,26,16,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.02054054054054054,0.014054054054054054,0.014054054054054054,0,0,0,12,-5,0.06486486486486487,185,0,0,0,0,0,0,0,0,0,0,0,9680,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709665,2025-03-01T02:55:09,2025-03-01,02:55:09,false,228.8,227,226.2,18,30,16,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.020364415862808145,0.013933547695605574,0.013933547695605574,0,0,0,12.8,-5,0.06859592711682744,186.6,0,0,0,0,0,0,0,0,0,0,0,9682,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709766,2025-03-01T03:05:09,2025-03-01,03:05:09,false,228.9,227.2,226.4,18,30,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.020277481323372464,0.013874066168623266,0.013874066168623266,0,0,0,13,-4.8,0.06937033084311632,187.4,0,0,0,0,0,0,0,0,0,0,0,9684,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709804,2025-03-01T03:10:09,2025-03-01,03:10:09,false,228.3,226.6,225.8,18,30,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.02025586353944563,0.013859275053304905,0.013859275053304905,0,0,0,12.8,-4.8,0.06823027718550108,187.6,0,0,0,0,0,0,0,0,0,0,0,9684,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709865,2025-03-01T03:15:09,2025-03-01,03:15:09,false,228.8,227,226.3,18,30,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.02025586353944563,0.013859275053304905,0.013859275053304905,0,0,0,13,-4.8,0.06929637526652452,187.6,0,0,0,0,0,0,0,0,0,0,0,9686,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709903,2025-03-01T03:20:09,2025-03-01,03:20:09,false,229.2,227.5,226.6,18,30,16,3.8,2.6,2.6,-0.8,-2,-1.8,0.02025586353944563,0.013859275053304905,0.013859275053304905,0,0,0,13,-4.8,0.06929637526652452,187.6,0,0,0,0,0,0,0,0,0,0,0,9686,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12709964,2025-03-01T03:25:09,2025-03-01,03:25:09,false,228.8,226.9,226.1,18,32,16,4,2.6,2.6,-0.8,-1.6,-1.8,0.021008403361344536,0.01365546218487395,0.01365546218487395,0,0,0,13.8,-4.4,0.07247899159663866,190.4,0,0,0,0,0,0,0,0,0,0,0,9688,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710002,2025-03-01T03:30:09,2025-03-01,03:30:09,false,229,227.1,226.3,18,36,14,4,2.6,2.6,-0.8,-1.8,-1.8,0.020920502092050212,0.013598326359832637,0.013598326359832637,0,0,0,14.8,-4.4,0.07740585774058578,191.2,0,0,0,0,0,0,0,0,0,0,0,9690,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710061,2025-03-01T03:35:09,2025-03-01,03:35:09,false,229,227.5,226.5,18,26,14,3.8,2.6,2.6,-0.8,-2.2,-1.8,0.02062975027144408,0.014115092290988058,0.014115092290988058,0,0,0,12,-5,0.06514657980456026,184.2,0,0,0,0,0,0,0,0,0,0,0,9690,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710094,2025-03-01T03:40:09,2025-03-01,03:40:09,false,228.8,226.8,226.1,18,36,14,4,2.6,2.6,-0.8,-1.8,-1.8,0.020920502092050212,0.013598326359832637,0.013598326359832637,0,0,0,14.8,-4.4,0.07740585774058578,191.2,0,0,0,0,0,0,0,0,0,0,0,9692,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710151,2025-03-01T03:45:09,2025-03-01,03:45:09,false,228.5,226.5,225.8,18,34,14,4,2.6,2.6,-0.8,-1.6,-1.8,0.020964360587002094,0.013626834381551363,0.013626834381551363,0,0,0,14,-4.4,0.07337526205450734,190.8,0,0,0,0,0,0,0,0,0,0,0,9692,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710183,2025-03-01T03:50:09,2025-03-01,03:50:09,false,229.2,227.1,226.4,18,38,16,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.019791666666666666,0.013541666666666667,0.013541666666666667,0,0,0,15.4,-4.4,0.08020833333333334,192,0,0,0,0,0,0,0,0,0,0,0,9694,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710239,2025-03-01T03:55:09,2025-03-01,03:55:09,false,228.9,227,226.2,18,34,16,4,2.6,2.6,-0.8,-1.4,-1.8,0.020876826722338204,0.013569937369519834,0.013569937369519834,0,0,0,14.2,-4.2,0.07411273486430063,191.6,0,0,0,0,0,0,0,0,0,0,0,9696,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710308,2025-03-01T04:05:12,2025-03-01,04:05:12,false,229.2,227.3,226.6,18,34,14,3.8,2.6,2.6,-0.8,-1.4,-1.8,0.0198744769874477,0.013598326359832637,0.013598326359832637,0,0,0,14,-4.2,0.07322175732217574,191.2,0,0,0,0,0,0,0,0,0,0,0,9698,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710416,2025-03-01T05:05:09,2025-03-01,05:05:09,false,230.1,228.2,227.3,18,36,14,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.019895287958115182,0.01361256544502618,0.01361256544502618,0,0,0,14.6,-4.4,0.07643979057591622,191,0,0,0,0,0,0,0,0,0,0,0,9712,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710444,2025-03-01T05:10:09,2025-03-01,05:10:09,false,229.2,227.2,226.4,18,36,16,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.0198744769874477,0.013598326359832637,0.013598326359832637,0,0,0,14.8,-4.4,0.07740585774058578,191.2,0,0,0,0,0,0,0,0,0,0,0,9714,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710494,2025-03-01T05:15:09,2025-03-01,05:15:09,false,229.3,227.4,226.5,18,34,14,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.02,0.01368421052631579,0.01368421052631579,0,0,0,13.8,-4.4,0.07263157894736842,190,0,0,0,0,0,0,0,0,0,0,0,9714,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710522,2025-03-01T05:20:09,2025-03-01,05:20:09,false,229.5,227.5,226.5,18,38,14,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.019832985386221295,0.013569937369519834,0.013569937369519834,0,0,0,14.8,-4.4,0.07724425887265136,191.6,0,0,0,0,0,0,0,0,0,0,0,9716,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710573,2025-03-01T05:25:09,2025-03-01,05:25:09,false,229.9,227.9,226.8,18,38,14,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.019791666666666666,0.013541666666666667,0.013541666666666667,0,0,0,14.8,-4.2,0.07708333333333334,192,0,0,0,0,0,0,0,0,0,0,0,9718,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710600,2025-03-01T05:30:09,2025-03-01,05:30:09,false,230,228.1,227,18,38,16,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.019832985386221295,0.013569937369519834,0.013569937369519834,0,0,0,14.8,-4.4,0.07724425887265136,191.6,0,0,0,0,0,0,0,0,0,0,0,9718,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710649,2025-03-01T05:35:09,2025-03-01,05:35:09,false,229.6,227.5,226.6,18,38,16,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.019832985386221295,0.013569937369519834,0.013569937369519834,0,0,0,14.8,-4.4,0.07724425887265136,191.6,0,0,0,0,0,0,0,0,0,0,0,9720,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710677,2025-03-01T05:40:09,2025-03-01,05:40:09,false,229.3,227.3,226.3,18,38,14,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.019812304483837327,0.013555787278415015,0.013555787278415015,0,0,0,14.8,-4.4,0.07716371220020855,191.8,0,0,0,0,0,0,0,0,0,0,0,9720,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710726,2025-03-01T05:45:09,2025-03-01,05:45:09,false,229.5,227.6,226.6,18,36,16,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.0198744769874477,0.013598326359832637,0.013598326359832637,0,0,0,14.8,-4.4,0.07740585774058578,191.2,0,0,0,0,0,0,0,0,0,0,0,9722,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710753,2025-03-01T05:50:09,2025-03-01,05:50:09,false,229.3,227.6,226.6,18,34,14,3.8,2.6,2.6,-0.8,-1.6,-1.8,0.019978969505783387,0.01366982124079916,0.01366982124079916,0,0,0,14,-4.4,0.07360672975814932,190.2,0,0,0,0,0,0,0,0,0,0,0,9724,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12710802,2025-03-01T05:55:09,2025-03-01,05:55:09,false,229.2,227.7,226.6,18,26,16,3.8,2.8,2.8,-0.8,-2.2,-1.8,0.020585048754062838,0.015167930660888406,0.015167930660888406,0,0,0,12.2,-5,0.06608884073672806,184.6,0,0,0,0,0,0,0,0,0,0,0,9724,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711344,2025-03-01T07:05:09,2025-03-01,07:05:09,false,229.6,228.8,227.1,18,26,30,4,6.4,6.4,-0.8,-2.2,-1,0.020703933747412008,0.033126293995859216,0.033126293995859216,0,0,0,15.8,-4.2,0.08178053830227744,193.2,0,0,0,0,0,0,0,0,0,0,0,9738,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711372,2025-03-01T07:10:09,2025-03-01,07:10:09,false,230.1,228.6,227.8,20,30,14,4.2,2.4,2.4,-0.8,-2.2,-1.8,0.022459893048128343,0.012834224598930482,0.012834224598930482,0,0,0,13.4,-5,0.07165775401069518,187,0,0,0,0,0,0,0,0,0,0,0,9740,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711421,2025-03-01T07:15:09,2025-03-01,07:15:09,false,230.3,228.7,227.8,18,30,14,3.8,2.4,2.4,-0.8,-2.2,-1.8,0.0203862660944206,0.012875536480686695,0.012875536480686695,0,0,0,12.6,-4.8,0.06759656652360514,186.4,0,0,0,0,0,0,0,0,0,0,0,9742,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711449,2025-03-01T07:20:09,2025-03-01,07:20:09,false,230.1,228.6,227.6,18,30,14,3.8,2.4,2.4,-0.8,-2,-1.8,0.0202991452991453,0.01282051282051282,0.01282051282051282,0,0,0,12.6,-4.8,0.0673076923076923,187.2,0,0,0,0,0,0,0,0,0,0,0,9742,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711499,2025-03-01T07:25:09,2025-03-01,07:25:09,false,230.7,229.1,228.1,18,30,14,3.8,2.4,2.4,-0.8,-2,-1.8,0.0202991452991453,0.01282051282051282,0.01282051282051282,0,0,0,12.8,-4.8,0.06837606837606838,187.2,0,0,0,0,0,0,0,0,0,0,0,9744,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711527,2025-03-01T07:30:09,2025-03-01,07:30:09,false,230.2,228.7,227.7,18,30,14,3.8,2.4,2.4,-0.8,-2,-1.8,0.020320855614973262,0.012834224598930482,0.012834224598930482,0,0,0,12.6,-4.8,0.06737967914438503,187,0,0,0,0,0,0,0,0,0,0,0,9744,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711577,2025-03-01T07:35:09,2025-03-01,07:35:09,false,230.1,228.7,227.7,18,26,14,3.8,2.4,2.4,-0.8,-2.2,-1.8,0.020585048754062838,0.013001083423618635,0.013001083423618635,0,0,0,11.8,-4.8,0.06392199349945829,184.6,0,0,0,0,0,0,0,0,0,0,0,9746,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711605,2025-03-01T07:40:09,2025-03-01,07:40:09,false,229.5,228.3,227.2,18,30,14,3.8,2.4,2.4,-0.8,-2.2,-1.8,0.0203862660944206,0.012875536480686695,0.012875536480686695,0,0,0,12.6,-4.8,0.06759656652360514,186.4,0,0,0,0,0,0,0,0,0,0,0,9746,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711655,2025-03-01T07:45:09,2025-03-01,07:45:09,false,229.5,228.2,227.3,20,26,14,4.2,2.4,2.4,-0.8,-2.2,-1.6,0.022629310344827586,0.01293103448275862,0.01293103448275862,0,0,0,12.4,-5,0.06681034482758622,185.6,0,0,0,0,0,0,0,0,0,0,0,9748,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711682,2025-03-01T07:50:09,2025-03-01,07:50:09,false,229.4,228.2,227.1,18,30,14,3.8,2.4,2.4,-0.8,-2.2,-1.8,0.0203862660944206,0.012875536480686695,0.012875536480686695,0,0,0,12.8,-4.8,0.06866952789699571,186.4,0,0,0,0,0,0,0,0,0,0,0,9748,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711732,2025-03-01T07:55:09,2025-03-01,07:55:09,false,229.6,228.2,227.2,18,30,14,3.8,2.4,2.4,-0.8,-2.2,-1.8,0.020364415862808145,0.012861736334405145,0.012861736334405145,0,0,0,12.8,-4.8,0.06859592711682744,186.6,0,0,0,0,0,0,0,0,0,0,0,9750,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711827,2025-03-01T08:05:09,2025-03-01,08:05:09,false,229,227.8,226.9,18,30,14,3.8,2.4,2.4,-0.8,-2.4,-1.6,0.02045209903121636,0.012917115177610333,0.012917115177610333,0,0,0,12.8,-5,0.0688912809472551,185.8,0,0,0,0,0,0,0,0,0,0,0,9752,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711854,2025-03-01T08:10:09,2025-03-01,08:10:09,false,229.2,227.9,226.8,18,26,14,3.8,2.4,2.4,-0.8,-2.2,-1.6,0.020518358531317494,0.012958963282937365,0.012958963282937365,0,0,0,11.8,-4.8,0.06371490280777539,185.2,0,0,0,0,0,0,0,0,0,0,0,9752,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711900,2025-03-01T08:15:09,2025-03-01,08:15:09,false,229,227.6,226.5,18,30,14,3.8,2.4,2.4,-0.8,-2.2,-1.6,0.020364415862808145,0.012861736334405145,0.012861736334405145,0,0,0,12.6,-4.8,0.06752411575562701,186.6,0,0,0,0,0,0,0,0,0,0,0,9754,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12711928,2025-03-01T08:20:09,2025-03-01,08:20:09,false,229,227.6,226.7,24,26,14,5.4,2.4,2.4,-1,-2.2,-1.6,0.02884615384615385,0.01282051282051282,0.01282051282051282,0,0,0,13.4,-5,0.07158119658119659,187.2,0,0,0,0,0,0,0,0,0,0,0,9754,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712004,2025-03-01T08:30:09,2025-03-01,08:30:09,false,228.5,227,225.8,18,26,14,3.8,2.4,2.4,-0.8,-2.2,-1.6,0.020607375271149673,0.013015184381778741,0.013015184381778741,0,0,0,11.8,-5,0.06399132321041215,184.4,0,0,0,0,0,0,0,0,0,0,0,9758,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712078,2025-03-01T08:40:09,2025-03-01,08:40:09,false,229.1,227.5,226.3,18,30,14,4,2.4,2.4,-0.8,-2.2,-1.6,0.021482277121374866,0.01288936627282492,0.01288936627282492,0,0,0,12.8,-5,0.06874328678839958,186.2,0,0,0,0,0,0,0,0,0,0,0,9760,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712128,2025-03-01T08:45:09,2025-03-01,08:45:09,false,228.5,227,225.7,18,30,14,4,2.4,2.4,-0.8,-2.2,-1.6,0.021367521367521368,0.01282051282051282,0.01282051282051282,0,0,0,13,-4.8,0.06944444444444445,187.2,0,0,0,0,0,0,0,0,0,0,0,9760,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712156,2025-03-01T08:50:09,2025-03-01,08:50:09,false,228.3,226.9,225.6,24,30,14,5.4,2.4,2.4,-0.4,-2.2,-1.8,0.028272251308900525,0.01256544502617801,0.01256544502617801,0,0,0,14.4,-4.4,0.07539267015706806,191,0,0,0,0,0,0,0,0,0,0,0,9762,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712206,2025-03-01T08:55:09,2025-03-01,08:55:09,false,227.4,226.2,225.1,26,26,14,6,2.4,2.4,-0.4,-2.2,-1.8,0.031479538300104935,0.012591815320041973,0.012591815320041973,0,0,0,14.2,-4.4,0.07450157397691501,190.6,0,0,0,0,0,0,0,0,0,0,0,9762,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712313,2025-03-01T09:10:09,2025-03-01,09:10:09,false,227.1,225.8,224.6,28,30,14,6.2,2.4,2.4,-0.4,-2.2,-1.6,0.03235908141962422,0.012526096033402923,0.012526096033402923,0,0,0,15,-4.4,0.07828810020876827,191.6,0,0,0,0,0,0,0,0,0,0,0,9766,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712363,2025-03-01T09:15:09,2025-03-01,09:15:09,false,226.6,225.5,224.1,28,30,14,6.2,2.4,2.4,-0.4,-2.4,-1.6,0.032460732984293195,0.01256544502617801,0.01256544502617801,0,0,0,15.2,-4.6,0.07958115183246073,191,0,0,0,0,0,0,0,0,0,0,0,9768,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712439,2025-03-01T09:25:09,2025-03-01,09:25:09,false,226.2,224.9,223.3,28,48,32,6.4,7,7,-0.4,-1.6,-1.6,0.032388663967611336,0.0354251012145749,0.0354251012145749,0,0,0,24.2,-3.8,0.12246963562753037,197.6,0,0,0,0,0,0,0,0,0,0,0,9770,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712466,2025-03-01T09:30:09,2025-03-01,09:30:09,false,227,225.1,224,28,48,18,6.4,3.6,3.6,-0.4,-1.4,-1.6,0.03248730964467005,0.018274111675126905,0.018274111675126905,0,0,0,21,-3.6,0.1065989847715736,197,0,0,0,0,0,0,0,0,0,0,0,9772,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712517,2025-03-01T09:35:09,2025-03-01,09:35:09,false,227.2,225.5,224.4,28,50,18,6.4,3.8,3.8,-0.4,-1.4,-1.6,0.03252032520325203,0.019308943089430892,0.019308943089430892,0,0,0,21,-3.6,0.10670731707317073,196.8,0,0,0,0,0,0,0,0,0,0,0,9774,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712545,2025-03-01T09:40:09,2025-03-01,09:40:09,false,226.9,225.1,224,28,48,20,6.4,3.8,3.8,-0.4,-1.4,-1.6,0.03248730964467005,0.01928934010152284,0.01928934010152284,0,0,0,21,-3.6,0.1065989847715736,197,0,0,0,0,0,0,0,0,0,0,0,9776,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
12712595,2025-03-01T09:44:54,2025-03-01,09:44:54,false,227.1,225.2,224.3,28,46,20,6.4,3.8,3.8,-0.4,-1.2,-1.6,0.03248730964467005,0.01928934010152284,0.01928934010152284,0,0,0,20.4,-3.6,0.10355329949238579,197,0,0,0,0,0,0,0,0,0,0,0,9778,0,0,0,0,0,0,0,0,0,0,0,0,0,34,93,299
